url,category_code,category_description,date_added,source,notes
https://www.unibet.com.au,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.unibet.eu,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.unibet.net,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xfhs.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xrdv.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1x2017.xyz,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xukc.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xmna.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xuno.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
http://www.bet-52.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
http://ru1xbet.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.b-bets.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.bet90.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.1bet.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet33.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet55.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet66.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet99.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xcag.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xwus.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xemh.xyz,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1x2017.space,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xmns.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xpcm.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xsqr.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xgbu.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet333.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet444.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet555.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet666.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet777.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet888.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.betsonic.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xsfn.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xlva.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xtyu.xyz,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xmobvcz.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xgeo.xyz,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.488365.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.bet365.com.cy,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.bwin8392.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xwqi.top,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet88.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.zanzibet.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.staybet.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.romeabet.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.betkings.eu,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbkbet2.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.optibet.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.bet11888.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
http://www.jackpotsecrets.net,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.betrahen.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.2bet4win.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xwlr.host,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xljo.host,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xktk.host,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.24bettle.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
http://www.zodiaccasino.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
http://www.luxurycasino.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.betfacil.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
http://www.captaincookscasino.eu,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
http://www.captaincookscasino.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
